product_id,product_name,sku_code,category_id,supplier_id,unit_cost,retail_price,weight_kg,is_active,reorder_level,brand,color,material
1001,Visionary national monitoring,Dp-2615-34,5,66,374.74,798.89,41.96,1,98,Potts-Espinoza,LightCoral,Synthetic
1002,Adaptive responsive architecture,Te-5528-96,8,82,384.55,1043.58,34.9,1,39,Jimenez Group,DarkSlateBlue,Wood
1003,Expanded static product,yS-1223-38,9,40,319.76,811.71,18.03,1,68,Walton-Walker,DarkRed,Metal
1004,Vision-oriented didactic software,WN-5596-30,10,67,126.9,615.96,6.99,1,75,"Mcintyre, Molina and Collins",PaleGreen,Synthetic
1005,Optimized bi-directional database,pd-9384-25,6,84,297.44,877.47,28.36,1,17,"Williams, Hutchinson and Rios",WhiteSmoke,Cotton
1006,Public-key tangible support,Uf-4289-73,2,8,220.9,545.42,17.11,1,32,Good Group,DarkTurquoise,Plastic
1007,Vision-oriented intermediate project,WP-7912-86,9,87,155.29,505.16,17.51,1,93,Christian LLC,PapayaWhip,Synthetic
1008,Compatible value-added software,uT-8578-72,7,57,381.25,900.04,32.24,1,54,Bryan-Johnson,SteelBlue,Wood
1009,Distributed 4thgeneration knowledgebase,Lz-5877-74,6,12,164.87,1102.9,10.3,1,40,"Davis, Young and Diaz",DarkSalmon,Synthetic
1010,Universal full-range alliance,pz-9033-37,1,93,300.05,955.12,27.09,1,80,"Paul, Garrett and Harris",DeepPink,Plastic
1011,Cross-group asynchronous application,xq-3466-92,1,3,101.45,623.57,18.0,1,68,"Parker, Bruce and Green",DarkBlue,Cotton
1012,Enhanced eco-centric open architecture,Hw-8121-47,6,68,78.98,686.63,24.85,0,75,Grant-Henderson,SpringGreen,Plastic
1013,Compatible object-oriented emulation,vB-3907-89,9,18,322.2,745.0,0.59,0,61,Kidd-Nichols,MintCream,Plastic
1014,Fundamental incremental info-mediaries,ur-7766-57,1,10,64.4,501.41,39.03,1,73,Bentley Inc,PaleGoldenRod,Wood
1015,Organized responsive initiative,Pe-6027-34,3,35,261.31,757.92,35.78,1,79,"Shelton, Mckenzie and Barnett",FloralWhite,Wood
1016,Optional foreground adapter,Pf-5148-88,9,62,197.11,855.89,44.81,1,67,Long Inc,Olive,Plastic
1017,Networked systematic capability,cI-4311-15,4,86,296.1,1099.11,41.88,1,21,"Myers, Barnes and Lamb",Olive,Plastic
1018,Public-key 24hour project,VX-3535-44,1,11,354.51,1176.06,8.24,1,32,Frederick-Logan,DarkViolet,Wood
1019,Up-sized regional architecture,aX-4392-84,9,66,320.13,863.7,7.24,1,66,Chase LLC,Black,Metal
1020,Versatile value-added paradigm,WP-4456-69,2,48,95.93,655.67,25.49,1,97,Huber PLC,Wheat,Synthetic
1021,Balanced tangible archive,oU-0782-63,4,40,248.64,762.92,6.0,1,19,Henson-Ortiz,GoldenRod,Cotton
1022,Multi-channeled motivating benchmark,WD-3738-98,8,88,238.58,797.36,24.86,1,51,"Ramos, Chase and Adams",LightPink,Cotton
1023,Implemented zero tolerance software,XS-7515-36,1,8,339.71,882.18,23.54,0,95,"Carter, Mcdonald and Miller",SpringGreen,Metal
1024,Innovative real-time array,xi-6377-80,2,4,62.97,985.59,22.54,1,15,Lane Ltd,DarkCyan,Wood
1025,Horizontal well-modulated intranet,vo-9240-75,9,86,192.15,1122.7,44.83,1,96,Ward Inc,AliceBlue,Synthetic
1026,Multi-tiered hybrid protocol,Lb-6668-45,8,29,289.92,818.17,22.23,1,49,Proctor-Rodriguez,Aqua,Wood
1027,Assimilated methodical complexity,OZ-9022-59,2,46,278.72,1072.65,49.38,1,73,"Turner, Cunningham and Holder",MediumTurquoise,Synthetic
1028,Public-key directional challenge,ze-9996-63,1,52,6.13,1075.24,38.25,1,67,Martinez LLC,Khaki,Wood
1029,User-friendly hybrid utilization,KC-8637-15,6,74,111.49,762.15,16.48,1,82,Cain-Parker,DarkSlateGray,Plastic
1030,Quality-focused explicit productivity,cS-4121-82,8,38,120.78,1183.97,44.01,1,88,Barber-Koch,MidnightBlue,Cotton
1031,Digitized exuding service-desk,ys-9702-31,10,73,366.12,847.15,5.37,0,47,Kelley-Meza,Snow,Synthetic
1032,Upgradable secondary hub,dx-3348-17,5,77,323.43,594.06,8.65,1,79,Miller Ltd,DarkSeaGreen,Metal
1033,Advanced neutral open architecture,kh-8025-66,6,14,187.86,850.43,0.64,1,84,Bridges-Jacobs,DarkSeaGreen,Wood
1034,Digitized bottom-line analyzer,ni-2867-16,3,92,130.97,811.34,18.89,1,38,Martin-Scott,SaddleBrown,Wood
1035,Adaptive object-oriented policy,Kt-3467-29,2,80,81.96,954.94,31.79,1,83,Smith Group,BurlyWood,Wood
1036,Object-based national neural-net,aj-9387-43,3,92,331.43,479.0,10.17,1,76,"Vazquez, Owen and Day",Green,Plastic
1037,Configurable fault-tolerant database,vK-7169-38,8,74,29.69,1132.0,33.18,1,72,Miranda Inc,DimGray,Plastic
1038,User-friendly user-facing success,sP-7779-01,2,97,238.74,1052.53,28.66,1,69,"Page, Snyder and Gonzalez",DarkViolet,Synthetic
1039,Monitored didactic installation,Ap-7546-92,10,1,51.81,565.06,34.97,1,59,"Miller, Thomas and Wright",Black,Metal
1040,Stand-alone multimedia circuit,SK-2967-62,1,29,151.49,516.25,19.45,1,60,"Patterson, Parker and Rogers",Brown,Plastic
1041,Diverse contextually-based definition,OI-1603-24,8,70,225.99,835.42,45.92,0,92,"Mccormick, Mason and Shields",SandyBrown,Plastic
1042,Seamless eco-centric core,hx-4137-68,2,45,291.55,622.65,41.27,0,30,Ramsey PLC,LightGreen,Wood
1043,Customizable contextually-based secured line,kq-1185-67,2,37,199.69,1023.21,30.39,1,26,"Ramirez, Solis and Herrera",MediumSlateBlue,Wood
1044,Re-contextualized actuating system engine,OS-3807-01,1,16,280.62,452.18,22.71,1,91,Sullivan-Cline,Snow,Synthetic
1045,Reactive maximized project,ca-7656-36,5,94,216.14,649.21,46.59,1,11,Reed Inc,DarkSalmon,Wood
1046,Reactive asynchronous frame,De-4125-77,3,80,43.41,796.52,22.19,1,56,Kaiser and Sons,LightCyan,Plastic
1047,Synchronized asymmetric extranet,rk-1837-27,4,98,156.72,491.57,28.43,0,34,Martin LLC,Gold,Metal
1048,Cross-platform dedicated success,hI-2091-24,3,94,378.3,954.84,0.27,0,53,Gonzalez-Brady,SandyBrown,Wood
1049,Reduced mobile groupware,Cw-6210-42,3,99,294.35,762.11,2.24,1,48,Pham and Sons,DarkRed,Wood
1050,Multi-channeled clear-thinking secured line,Sd-2308-37,3,99,291.96,486.19,47.66,1,45,Roy Inc,DarkViolet,Plastic
1051,Streamlined disintermediate attitude,Ma-8164-70,8,12,377.76,465.76,44.48,1,52,"Morales, Collins and Manning",MediumVioletRed,Metal
1052,Horizontal regional architecture,mf-0633-53,2,81,226.88,952.04,37.26,1,83,"Coleman, Colon and Allen",DarkCyan,Cotton
1053,Ergonomic foreground matrix,RQ-0600-53,10,41,205.99,1144.32,40.07,1,96,Garcia Ltd,LightYellow,Cotton
1054,Organized full-range pricing structure,AG-1312-20,1,7,75.19,658.56,25.15,1,82,"Brennan, Cruz and Archer",MediumSeaGreen,Synthetic
1055,Switchable fault-tolerant solution,nI-1558-39,8,41,80.33,541.23,1.13,1,32,Martin Ltd,GhostWhite,Wood
1056,Reduced coherent open system,wu-6613-31,8,86,390.82,517.86,37.97,1,100,Garcia Group,Brown,Wood
1057,Re-contextualized high-level workforce,nD-2065-06,4,96,376.64,880.42,0.49,1,85,"Clayton, Dean and Gaines",MediumPurple,Plastic
1058,Intuitive interactive concept,en-3149-50,8,2,351.51,1169.3,25.86,1,50,Miller LLC,Thistle,Metal
1059,Adaptive foreground encryption,YK-6497-18,6,43,249.77,954.92,6.26,0,38,Mays and Sons,Beige,Cotton
1060,Face-to-face transitional support,RX-2419-56,4,61,242.48,702.42,43.59,1,72,Ellison-Wells,DarkViolet,Synthetic
1061,Stand-alone intermediate focus group,vb-2525-71,2,26,214.18,1020.06,37.72,1,96,Allen Ltd,Tomato,Wood
1062,Multi-lateral client-driven service-desk,GL-9976-83,4,39,50.28,812.08,6.03,1,24,Adkins-Lawrence,PaleGoldenRod,Synthetic
1063,Upgradable full-range matrices,pV-0309-14,2,36,91.02,817.15,34.6,1,11,Gill-Peters,Azure,Synthetic
1064,Persistent local help-desk,xF-6391-02,3,46,289.37,578.66,11.44,0,21,Norman Inc,Olive,Synthetic
1065,Vision-oriented fault-tolerant matrix,pU-4326-30,5,47,378.3,1109.75,20.08,1,24,"Todd, Henson and Moore",Brown,Cotton
1066,Reactive bi-directional conglomeration,PY-9752-45,5,15,291.64,1171.02,41.36,1,70,Sutton-Jensen,LightSlateGray,Metal
1067,Stand-alone real-time artificial intelligence,Uv-0864-03,3,90,357.21,660.52,8.6,1,18,Bowen LLC,Black,Metal
1068,Grass-roots client-driven monitoring,ZR-5338-03,4,98,243.96,1170.06,27.87,1,66,Perkins LLC,ForestGreen,Plastic
1069,Exclusive empowering superstructure,CO-3968-52,5,11,25.86,680.23,28.53,1,60,"Owens, Warren and Dillon",Gainsboro,Metal
1070,Self-enabling asynchronous superstructure,Oj-0171-30,10,7,124.28,779.62,2.69,1,51,Fuller Inc,LightGray,Cotton
1071,Compatible 3rdgeneration middleware,Yn-3212-98,9,41,142.03,814.75,16.13,1,30,Mullen LLC,Aquamarine,Metal
1072,Self-enabling 4thgeneration paradigm,kU-3816-74,5,86,46.6,1178.62,4.91,1,22,Morgan and Sons,PeachPuff,Cotton
1073,Reduced impactful throughput,ts-3362-93,3,81,219.49,906.79,30.18,1,82,"Wilson, Kennedy and Jackson",MintCream,Wood
1074,Reverse-engineered didactic alliance,xz-9734-71,6,83,232.06,1120.94,29.23,1,88,"Lowe, Hood and Mills",Lime,Plastic
1075,Reactive empowering moratorium,NV-6277-68,9,14,10.95,730.41,11.62,0,33,Ruiz Group,Silver,Wood
1076,Quality-focused methodical projection,fW-6270-66,9,84,248.51,529.18,22.73,1,37,"Hodges, Espinoza and Mcdonald",LightGray,Plastic
1077,Vision-oriented coherent hierarchy,qy-4982-82,6,9,392.72,728.97,8.91,1,37,Rodriguez-Johnson,RoyalBlue,Wood
1078,Object-based directional throughput,ME-7474-68,5,56,280.11,635.67,18.22,0,56,"Hunt, Maxwell and Harrison",PaleGoldenRod,Metal
1079,Reverse-engineered upward-trending frame,ma-1527-32,1,44,48.94,1042.13,33.91,1,48,Anderson and Sons,MediumSpringGreen,Cotton
1080,Devolved maximized middleware,zV-0857-66,1,22,311.94,942.03,48.07,1,32,"Larson, Chang and Schultz",BlueViolet,Plastic
1081,Profound background infrastructure,Ac-5674-91,8,23,337.5,591.82,11.04,1,40,King-Henry,Beige,Metal
1082,Multi-lateral motivating access,qX-1692-36,10,84,94.58,1194.96,0.14,1,82,Nichols Group,LightCyan,Synthetic
1083,Switchable disintermediate workforce,BV-5875-06,6,38,264.81,1163.13,15.37,1,89,Monroe-Williams,DarkBlue,Plastic
1084,Seamless systemic concept,SQ-3370-50,4,82,67.43,638.95,19.4,1,93,Castro-Rodriguez,SteelBlue,Plastic
1085,Versatile multimedia challenge,pM-2497-24,1,65,104.96,1133.96,17.8,1,84,White LLC,Tan,Cotton
